workflow_path,category,decision,priority,why,value,overlap,root_cause_signature,evidence_refs,fix_needed
.github/workflows/ci-determinism.yml,ACTIVE_BROKEN,REPAIR,P1,purpose=Determinism and schema consistency checks; value=HIGH; rate30=69%; fails30=4; active=yes; writes_public=False; writes_mirrors=False; concurrency=True,HIGH,0,"SCHEMA_MISSING_PROPERTY: determinism-check	Validate Registry Schema	2026-02-08T22:33:04.6319305Z     params: { missingProperty: 'generated_at' },",".github/workflows/ci-determinism.yml:1 || run:21806609129 || determinism-check	Validate Registry Schema	2026-02-08T22:33:04.6319305Z     params: { missingProperty: 'generated_at' },",YES
.github/workflows/ci-gates.yml,DANGEROUS,REPAIR,P1,purpose=Quality/policy/schema gates before merge/deploy; value=HIGH; rate30=60%; fails30=12; active=yes; writes_public=True; writes_mirrors=True; concurrency=False,HIGH,0,RATE_LIMIT_429: JSON Schema Validation	Run unit tests	2026-02-08T22:29:57.8975103Z ✅ HTTP 429 with Retry-After → uses header value,.github/workflows/ci-gates.yml:1 || .github/workflows/ci-gates.yml:121 || run:21806564938 || JSON Schema Validation	Run unit tests	2026-02-08T22:29:57.8975103Z ✅ HTTP 429 with Retry-After → uses header value,YES
.github/workflows/ci-policy.yml,DANGEROUS,REPAIR,P1,purpose=Policy validation gate; value=LOW; rate30=92%; fails30=0; active=yes; writes_public=False; writes_mirrors=True; concurrency=True,LOW,0,NONE: NONE,.github/workflows/ci-policy.yml:1 || .github/workflows/ci-policy.yml:26,YES
.github/workflows/cleanup-daily-snapshots.yml,ACTIVE_HEALTHY,KEEP,P3,purpose=Cleanup stale snapshot artifacts; value=MED; rate30=100%; fails30=0; active=yes; writes_public=True; writes_mirrors=False; concurrency=False,MED,0,NONE: NONE,.github/workflows/cleanup-daily-snapshots.yml:1,OPTIONAL
.github/workflows/e2e-playwright.yml,ACTIVE_BROKEN,REPAIR,P1,purpose=E2E UI/API regression checks; value=MED; rate30=0%; fails30=30; active=yes; writes_public=False; writes_mirrors=False; concurrency=False,MED,0,GHA_ERROR: ops-e2e	UNKNOWN STEP	2026-02-09T14:48:54.7490702Z ##[error]Process completed with exit code 1.,.github/workflows/e2e-playwright.yml:1 || run:21829656565 || ops-e2e	UNKNOWN STEP	2026-02-09T14:48:54.7490702Z ##[error]Process completed with exit code 1.,YES
.github/workflows/eod-history-refresh.yml,ACTIVE_HEALTHY,KEEP,P3,purpose=Historical EOD refresh/backfill; value=MED; rate30=100%; fails30=0; active=yes; writes_public=True; writes_mirrors=False; concurrency=True,MED,0,NONE: NONE,.github/workflows/eod-history-refresh.yml:1 || .github/workflows/eod-history-refresh.yml:41,OPTIONAL
.github/workflows/eod-latest.yml,ACTIVE_BROKEN,REPAIR,P0,purpose=Core latest EOD ingestion feeding downstream market data; value=HIGH; rate30=3%; fails30=29; active=yes; writes_public=True; writes_mirrors=False; concurrency=True,HIGH,0,GHA_ERROR: run	UNKNOWN STEP	2026-02-09T22:55:26.1445662Z ##[error]Process completed with exit code 1.,.github/workflows/eod-latest.yml:1 || .github/workflows/eod-latest.yml:59 || run:21844075239 || run	UNKNOWN STEP	2026-02-09T22:55:26.1445662Z ##[error]Process completed with exit code 1.,YES
.github/workflows/forecast-daily.yml,DANGEROUS,REPAIR,P0,purpose=Daily forecast publish orchestration; value=HIGH; rate30=75%; fails30=1; active=yes; writes_public=True; writes_mirrors=True; concurrency=False,HIGH,0,CIRCUIT_OPEN: Daily Forecast Run	UNKNOWN STEP	2026-02-06T21:25:49.9557662Z   ❌ CIRCUIT OPEN: Missing price data 80.7% exceeds threshold 5%,.github/workflows/forecast-daily.yml:1 || .github/workflows/forecast-daily.yml:54 || run:21766433410 || Daily Forecast Run	UNKNOWN STEP	2026-02-06T21:25:49.9557662Z   ❌ CIRCUIT OPEN: Missing price data 80.7% exceeds threshold 5%,YES
.github/workflows/forecast-monthly.yml,DANGEROUS,REPAIR,P1,purpose=Monthly forecast maintenance/reporting; value=MED; rate30=0%; fails30=0; active=yes; writes_public=True; writes_mirrors=False; concurrency=False,MED,0,NONE: NONE,.github/workflows/forecast-monthly.yml:1 || .github/workflows/forecast-monthly.yml:56,YES
.github/workflows/forecast-rollback.yml,MANUAL_TOOL,ARCHIVE,P2,purpose=Manual rollback utility for forecast artifacts; value=MED; rate30=0%; fails30=0; active=no; writes_public=True; writes_mirrors=False; concurrency=True,MED,1,NONE: NONE,.github/workflows/forecast-rollback.yml:1,OPTIONAL
.github/workflows/forecast-weekly.yml,ACTIVE_HEALTHY,KEEP,P3,purpose=Weekly forecast maintenance/reporting; value=MED; rate30=100%; fails30=0; active=yes; writes_public=True; writes_mirrors=True; concurrency=False,MED,0,NONE: NONE,.github/workflows/forecast-weekly.yml:1 || .github/workflows/forecast-weekly.yml:50,OPTIONAL
.github/workflows/monitor-prod.yml,ACTIVE_BROKEN,REPAIR,P0,purpose=Production endpoint liveness/contract monitoring; value=HIGH; rate30=0%; fails30=3; active=yes; writes_public=False; writes_mirrors=False; concurrency=False,HIGH,0,HTTP_CURL_22: liveness	Check required artifact endpoints	2026-02-11T06:55:40.0042455Z curl: (22) The requested URL returned error: 403,.github/workflows/monitor-prod.yml:1 || run:21895644780 || liveness	Check required artifact endpoints	2026-02-11T06:55:40.0042455Z curl: (22) The requested URL returned error: 403,YES
.github/workflows/ops-auto-alerts.yml,ACTIVE_HEALTHY,KEEP,P3,purpose=Automated ops alert checks; value=MED; rate30=100%; fails30=0; active=yes; writes_public=False; writes_mirrors=False; concurrency=True,MED,0,NONE: NONE,.github/workflows/ops-auto-alerts.yml:1,OPTIONAL
.github/workflows/ops-daily.yml,ACTIVE_BROKEN,REPAIR,P0,purpose=Daily ops snapshot and operational pulse generation; value=HIGH; rate30=10%; fails30=27; active=yes; writes_public=True; writes_mirrors=False; concurrency=True,HIGH,0,"LOG_ACCESS_BLOCKED: logs unavailable for runs: 21803567207, 21803184134, 21803088081, 21802921390, 21802869317",".github/workflows/ops-daily.yml:1 || .github/workflows/ops-daily.yml:55 || run:21803567207 || logs unavailable for runs: 21803567207, 21803184134, 21803088081, 21802921390, 21802869317",YES
.github/workflows/refresh-health-assets.yml,DANGEROUS,REPAIR,P0,purpose=Refresh health-related static assets; value=MED; rate30=81%; fails30=3; active=yes; writes_public=True; writes_mirrors=False; concurrency=False,MED,0,"ENOENT_SEED_MANIFEST: refresh	Refresh health assets	2026-02-11T07:19:38.9032837Z Error: ENOENT: no such file or directory, open '/home/runner/work/rubikvault-site/rubikvault-site/public/data/seed-manifest.json'",".github/workflows/refresh-health-assets.yml:1 || .github/workflows/refresh-health-assets.yml:29 || run:21896163581 || refresh	Refresh health assets	2026-02-11T07:19:38.9032837Z Error: ENOENT: no such file or directory, open '/home/runner/work/rubikvault-site/rubikvault-site/public/data/seed-manifest.json'",YES
.github/workflows/scheduler-kick.yml,ACTIVE_BROKEN,REPAIR,P0,purpose=Scheduled trigger bridge for forecast/ops pipeline kick; value=HIGH; rate30=0%; fails30=30; active=yes; writes_public=False; writes_mirrors=False; concurrency=False,HIGH,0,"WAF_CHALLENGE: kick	Trigger scheduler	2026-02-11T18:10:29.4040043Z <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robot",".github/workflows/scheduler-kick.yml:1 || run:21917167696 || kick	Trigger scheduler	2026-02-11T18:10:29.4040043Z <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robot",YES
.github/workflows/universe-refresh.yml,ACTIVE_HEALTHY,KEEP,P3,purpose=Universe list regeneration; value=MED; rate30=100%; fails30=0; active=yes; writes_public=True; writes_mirrors=False; concurrency=False,MED,0,NONE: NONE,.github/workflows/universe-refresh.yml:1 || .github/workflows/universe-refresh.yml:30,OPTIONAL
.github/workflows/v3-finalizer.yml,LEGACY,ARCHIVE,P1,purpose=Legacy v3 scrape/finalize snapshot pipeline; value=LOW; rate30=0%; fails30=30; active=yes; writes_public=True; writes_mirrors=False; concurrency=True,LOW,1,"ENOENT_MODULES: finalize	UNKNOWN STEP	2026-02-10T23:08:08.5865809Z ERROR: Failed to load registry: ENOENT: no such file or directory, open '/home/runner/work/rubikvault-site/rubikvault-site/public/data/registry/modules.json'",".github/workflows/v3-finalizer.yml:1 || .github/workflows/v3-finalizer.yml:151 || run:21885907570 || finalize	UNKNOWN STEP	2026-02-10T23:08:08.5865809Z ERROR: Failed to load registry: ENOENT: no such file or directory, open '/home/runner/work/rubikvault-site/rubikvault-site/public/data/registry/modules.json'",OPTIONAL
.github/workflows/v3-scrape-template.yml,LEGACY,ARCHIVE,P1,purpose=Legacy v3 scrape/finalize snapshot pipeline; value=LOW; rate30=0%; fails30=30; active=yes; writes_public=True; writes_mirrors=False; concurrency=False,LOW,1,ENOENT_MODULES: prepare	UNKNOWN STEP	2026-02-10T23:07:34.2374274Z Error: Cannot find module './public/data/registry/modules.json',.github/workflows/v3-scrape-template.yml:1 || .github/workflows/v3-scrape-template.yml:239 || run:21885900868 || prepare	UNKNOWN STEP	2026-02-10T23:07:34.2374274Z Error: Cannot find module './public/data/registry/modules.json',OPTIONAL
.github/workflows/wp16-manual-market-prices.yml,ACTIVE_BROKEN,REPAIR,P0,purpose=Manual WP16 market-prices utility pipeline; value=MED; rate30=0%; fails30=30; active=yes; writes_public=True; writes_mirrors=False; concurrency=True,MED,0,"LOG_ACCESS_BLOCKED: logs unavailable for runs: 21802651686, 21802620069, 21802429619, 21802402954, 21802369475",".github/workflows/wp16-manual-market-prices.yml:1 || .github/workflows/wp16-manual-market-prices.yml:38 || run:21802651686 || logs unavailable for runs: 21802651686, 21802620069, 21802429619, 21802402954, 21802369475",YES
