workflow,category,decision,priority,why,value,overlap,root_cause_signature,evidence_refs,fix_needed
.github/workflows/v3-finalizer.yml,LEGACY,DEPRECATE+ARCHIVE,P1,total30=30; success_rate_30=0%; failures_30=30; manual_only=False; writes=True; concurrency=True,Legacy v3 scrape/finalize pipeline for snapshots,HIGH (overlaps with newer eod/ops/ci paths),ENOENT: no such file or directory; open '/home/runner/work/rubikvault-site/rubikvault-site/public/data/registry/modules.json',.github/workflows/v3-finalizer.yml; run:21885907570,YES
.github/workflows/v3-scrape-template.yml,LEGACY,DEPRECATE+ARCHIVE,P1,total30=30; success_rate_30=0%; failures_30=30; manual_only=False; writes=True; concurrency=False,Legacy v3 scrape/finalize pipeline for snapshots,HIGH (overlaps with newer eod/ops/ci paths),Cannot find module './public/data/registry/modules.json',.github/workflows/v3-scrape-template.yml; run:21885900868,YES
.github/workflows/ci-gates.yml,DANGEROUS,REPAIR,P0,total30=30; success_rate_30=60%; failures_30=12; manual_only=False; writes=True; concurrency=False,Quality/safety gate before merge/deploy,LOW,cloudflare'. Use an older or newer version.,.github/workflows/ci-gates.yml; run:21806564938,YES
.github/workflows/cleanup-daily-snapshots.yml,DANGEROUS,REPAIR,P0,total30=3; success_rate_30=100%; failures_30=0; manual_only=False; writes=True; concurrency=False,Workflow utility / support,LOW,NONE,.github/workflows/cleanup-daily-snapshots.yml; none,YES
.github/workflows/wp16-manual-market-prices.yml,MANUAL_TOOL,KEEP,P3,total30=30; success_rate_30=0%; failures_30=30; manual_only=True; writes=True; concurrency=True,Workflow utility / support,LOW,NO_SIGNATURE_CAPTURED,.github/workflows/wp16-manual-market-prices.yml; run:21802651686,NO
.github/workflows/refresh-health-assets.yml,DANGEROUS,REPAIR,P0,total30=16; success_rate_30=81%; failures_30=3; manual_only=False; writes=True; concurrency=False,Workflow utility / support,LOW,ENOENT: no such file or directory; open '/home/runner/work/rubikvault-site/rubikvault-site/public/data/seed-manifest.json',.github/workflows/refresh-health-assets.yml; run:21896163581,YES
.github/workflows/ops-daily.yml,ACTIVE_BROKEN,REPAIR,P0,total30=30; success_rate_30=10%; failures_30=27; manual_only=False; writes=True; concurrency=True,"Operational observability, liveness and automation control",LOW,NO_SIGNATURE_CAPTURED,.github/workflows/ops-daily.yml; run:21803567207,YES
.github/workflows/eod-latest.yml,ACTIVE_BROKEN,REPAIR,P0,total30=30; success_rate_30=3%; failures_30=29; manual_only=False; writes=True; concurrency=True,Publishes market EOD datasets used by downstream pipelines,LOW,cloudflare'. Use an older or newer version.,.github/workflows/eod-latest.yml; run:21844075239,YES
.github/workflows/scheduler-kick.yml,ACTIVE_BROKEN,REPAIR,P0,total30=30; success_rate_30=0%; failures_30=30; manual_only=False; writes=False; concurrency=False,"Operational observability, liveness and automation control",LOW,Scheduler kick failed (HTTP 403),.github/workflows/scheduler-kick.yml; run:21913132841,YES
.github/workflows/e2e-playwright.yml,ACTIVE_BROKEN,REPAIR,P1,total30=30; success_rate_30=0%; failures_30=30; manual_only=False; writes=False; concurrency=False,Workflow utility / support,LOW,cloudflare'. Use an older or newer version.,.github/workflows/e2e-playwright.yml; run:21829656565,YES
